#36864
#36300
#36300
#564
#0
   Index      Gx      Gy      Gz
     723   -9079   -1131   31463
     724   -8955   -1877   31463
     725   -8769   -2610   31463
     726   -8524   -3326   31463
     727   -8220   -4018   31463
     728   -7860   -4683   31463
     729   -7446   -5316   31463
     730   -6982   -5913   31463
     731   -6470   -6470   31463
     732   -5913   -6982   31463
     733   -5316   -7446   31463
     734   -4683   -7860   31463
     735   -4018   -8220   31463
     736   -3326   -8524   31463
     737   -2610   -8769   31463
     738   -1877   -8955   31463
     739   -1131   -9079   31463
     740    -378   -9142   31463
     741     378   -9142   31463
     742    1131   -9079   31463
     743    1877   -8955   31463
     744    2610   -8769   31463
     745    3326   -8524   31463
     746    4018   -8220   31463
     747    4683   -7860   31463
     748    5316   -7446   31463
     749    5913   -6982   31463
     750    6470   -6470   31463
     751    6982   -5913   31463
     752    7446   -5316   31463
     753    7860   -4683   31463
     754    8220   -4018   31463
     755    8524   -3326   31463
     756    8769   -2610   31463
     757    8955   -1877   31463
     758    9079   -1131   31463
     759    9142    -378   31463
     760    9613     377   31322
     761    9554    1130   31322
     762    9436    1876   31322
     763    9259    2611   31322
     764    9026    3329   31322
     765    8737    4027   31322
     766    8394    4701   31322
     767    7999    5345   31322
     768    7555    5956   31322
     769    7064    6530   31322
     770    6530    7064   31322
     771    5956    7555   31322
     772    5345    7999   31322
     773    4701    8394   31322
     774    4027    8737   31322
     775    3329    9026   31322
     776    2611    9259   31322
     777    1876    9436   31322
     778    1130    9554   31322
     779     377    9613   31322
     780    -377    9613   31322
     781   -1130    9554   31322
     782   -1876    9436   31322
     783   -2611    9259   31322
     784   -3329    9026   31322
     785   -4027    8737   31322
     786   -4701    8394   31322
     787   -5345    7999   31322
     788   -5956    7555   31322
     789   -6530    7064   31322
     790   -7064    6530   31322
     791   -7555    5956   31322
     792   -7999    5345   31322
     793   -8394    4701   31322
     794   -8737    4027   31322
     795   -9026    3329   31322
     796   -9259    2611   31322
     797   -9436    1876   31322
     798   -9554    1130   31322
     799   -9613     377   31322
     800   -9613    -377   31322
     801   -9554   -1130   31322
     802   -9436   -1876   31322
     803   -9259   -2611   31322
     804   -9026   -3329   31322
     805   -8737   -4027   31322
     806   -8394   -4701   31322
     807   -7999   -5345   31322
     808   -7555   -5956   31322
     809   -7064   -6530   31322
     810   -6530   -7064   31322
     811   -5956   -7555   31322
     812   -5345   -7999   31322
     813   -4701   -8394   31322
     814   -4027   -8737   31322
     815   -3329   -9026   31322
     816   -2611   -9259   31322
     817   -1876   -9436   31322
     818   -1130   -9554   31322
     819    -377   -9613   31322
     820     377   -9613   31322
     821    1130   -9554   31322
     822    1876   -9436   31322
     823    2611   -9259   31322
     824    3329   -9026   31322
     825    4027   -8737   31322
     826    4701   -8394   31322
     827    5345   -7999   31322
     828    5956   -7555   31322
     829    6530   -7064   31322
     830    7064   -6530   31322
     831    7555   -5956   31322
     832    7999   -5345   31322
     833    8394   -4701   31322
     834    8737   -4027   31322
     835    9026   -3329   31322
     836    9259   -2611   31322
     837    9436   -1876   31322
     838    9554   -1130   31322
     839    9613    -377   31322
     840   10083     377   31174
     841   10026    1129   31174
     842    9914    1875   31174
     843    9746    2611   31174
     844    9524    3332   31174
     845    9248    4035   31174
     846    8921    4714   31174
     847    8543    5368   31174
     848    8118    5991   31174
     849    7648    6581   31174
     850    7134    7134   31174
     851    6581    7648   31174
     852    5991    8118   31174
     853    5368    8543   31174
     854    4714    8921   31174
     855    4035    9248   31174
     856    3332    9524   31174
     857    2611    9746   31174
     858    1875    9914   31174
     859    1129   10026   31174
     860     377   10083   31174
     861    -377   10083   31174
     862   -1129   10026   31174
     863   -1875    9914   31174
     864   -2611    9746   31174
     865   -3332    9524   31174
     866   -4035    9248   31174
     867   -4714    8921   31174
     868   -5368    8543   31174
     869   -5991    8118   31174
     870   -6581    7648   31174
     871   -7134    7134   31174
     872   -7648    6581   31174
     873   -8118    5991   31174
     874   -8543    5368   31174
     875   -8921    4714   31174
     876   -9248    4035   31174
     877   -9524    3332   31174
     878   -9746    2611   31174
     879   -9914    1875   31174
     880  -10026    1129   31174
     881  -10083     377   31174
     882  -10083    -377   31174
     883  -10026   -1129   31174
     884   -9914   -1875   31174
     885   -9746   -2611   31174
     886   -9524   -3332   31174
     887   -9248   -4035   31174
     888   -8921   -4714   31174
     889   -8543   -5368   31174
     890   -8118   -5991   31174
     891   -7648   -6581   31174
     892   -7134   -7134   31174
     893   -6581   -7648   31174
     894   -5991   -8118   31174
     895   -5368   -8543   31174
     896   -4714   -8921   31174
     897   -4035   -9248   31174
     898   -3332   -9524   31174
     899   -2611   -9746   31174
     900   -1875   -9914   31174
     901   -1129  -10026   31174
     902    -377  -10083   31174
     903     377  -10083   31174
     904    1129  -10026   31174
     905    1875   -9914   31174
     906    2611   -9746   31174
     907    3332   -9524   31174
     908    4035   -9248   31174
     909    4714   -8921   31174
     910    5368   -8543   31174
     911    5991   -8118   31174
     912    6581   -7648   31174
     913    7134   -7134   31174
     914    7648   -6581   31174
     915    8118   -5991   31174
     916    8543   -5368   31174
     917    8921   -4714   31174
     918    9248   -4035   31174
     919    9524   -3332   31174
     920    9746   -2611   31174
     921    9914   -1875   31174
     922   10026   -1129   31174
     923   10083    -377   31174
     924   10551     376   31019
     925   10497    1128   31019
     926   10390    1874   31019
     927   10230    2611   31019
     928   10017    3334   31019
     929    9754    4040   31019
     930    9441    4725   31019
     931    9080    5387   31019
     932    8672    6021   31019
     933    8220    6624   31019
     934    7727    7194   31019
     935    7194    7727   31019
     936    6624    8220   31019
     937    6021    8672   31019
     938    5387    9080   31019
     939    4725    9441   31019
     940    4040    9754   31019
     941    3334   10017   31019
     942    2611   10230   31019
     943    1874   10390   31019
     944    1128   10497   31019
     945     376   10551   31019
     946    -376   10551   31019
     947   -1128   10497   31019
     948   -1874   10390   31019
     949   -2611   10230   31019
     950   -3334   10017   31019
     951   -4040    9754   31019
     952   -4725    9441   31019
     953   -5387    9080   31019
     954   -6021    8672   31019
     955   -6624    8220   31019
     956   -7194    7727   31019
     957   -7727    7194   31019
     958   -8220    6624   31019
     959   -8672    6021   31019
     960   -9080    5387   31019
     961   -9441    4725   31019
     962   -9754    4040   31019
     963  -10017    3334   31019
     964  -10230    2611   31019
     965  -10390    1874   31019
     966  -10497    1128   31019
     967  -10551     376   31019
     968  -10551    -376   31019
     969  -10497   -1128   31019
     970  -10390   -1874   31019
     971  -10230   -2611   31019
     972  -10017   -3334   31019
     973   -9754   -4040   31019
     974   -9441   -4725   31019
     975   -9080   -5387   31019
     976   -8672   -6021   31019
     977   -8220   -6624   31019
     978   -7727   -7194   31019
     979   -7194   -7727   31019
     980   -6624   -8220   31019
     981   -6021   -8672   31019
     982   -5387   -9080   31019
     983   -4725   -9441   31019
     984   -4040   -9754   31019
     985   -3334  -10017   31019
     986   -2611  -10230   31019
     987   -1874  -10390   31019
     988   -1128  -10497   31019
     989    -376  -10551   31019
     990     376  -10551   31019
     991    1128  -10497   31019
     992    1874  -10390   31019
     993    2611  -10230   31019
     994    3334  -10017   31019
     995    4040   -9754   31019
     996    4725   -9441   31019
     997    5387   -9080   31019
     998    6021   -8672   31019
     999    6624   -8220   31019
    1000    7194   -7727   31019
    1001    7727   -7194   31019
    1002    8220   -6624   31019
    1003    8672   -6021   31019
    1004    9080   -5387   31019
    1005    9441   -4725   31019
    1006    9754   -4040   31019
    1007   10017   -3334   31019
    1008   10230   -2611   31019
    1009   10390   -1874   31019
    1010   10497   -1128   31019
    1011   10551    -376   31019
    1012   11017     376   30856
    1013   10966    1127   30856
    1014   10863    1873   30856
    1015   10710    2610   30856
    1016   10507    3334   30856
    1017   10255    4044   30856
    1018    9955    4734   30856
    1019    9609    5402   30856
    1020    9217    6046   30856
    1021    8783    6661   30856
    1022    8308    7244   30856
    1023    7795    7795   30856
    1024    7244    8308   30856
    1025    6661    8783   30856
    1026    6046    9217   30856
    1027    5402    9609   30856
    1028    4734    9955   30856
    1029    4044   10255   30856
    1030    3334   10507   30856
    1031    2610   10710   30856
    1032    1873   10863   30856
    1033    1127   10966   30856
    1034     376   11017   30856
    1035    -376   11017   30856
    1036   -1127   10966   30856
    1037   -1873   10863   30856
    1038   -2610   10710   30856
    1039   -3334   10507   30856
    1040   -4044   10255   30856
    1041   -4734    9955   30856
    1042   -5402    9609   30856
    1043   -6046    9217   30856
    1044   -6661    8783   30856
    1045   -7244    8308   30856
    1046   -7795    7795   30856
    1047   -8308    7244   30856
    1048   -8783    6661   30856
    1049   -9217    6046   30856
    1050   -9609    5402   30856
    1051   -9955    4734   30856
    1052  -10255    4044   30856
    1053  -10507    3334   30856
    1054  -10710    2610   30856
    1055  -10863    1873   30856
    1056  -10966    1127   30856
    1057  -11017     376   30856
    1058  -11017    -376   30856
    1059  -10966   -1127   30856
    1060  -10863   -1873   30856
    1061  -10710   -2610   30856
    1062  -10507   -3334   30856
    1063  -10255   -4044   30856
    1064   -9955   -4734   30856
    1065   -9609   -5402   30856
    1066   -9217   -6046   30856
    1067   -8783   -6661   30856
    1068   -8308   -7244   30856
    1069   -7795   -7795   30856
