#36864
#36864
#36864
#0
#0
   Index      Gx      Gy      Gz
     748   27319   11522   13949
     749    -653  -25082  -21074
     750  -28237   13684    9436
     751   15730   13098  -25586
     752    8614  -31228    4924
     753  -12793    2012  -30099
     754   17989   27383     411
     755    5797   -9158   30922
     756  -32195   -4509   -4100
     757    5472   18607   26409
     758   23949  -20637   -8613
     759  -22112  -10258   21897
     760    -275   30021  -13125
     761   25405  -11224   17384
     762  -20585  -18406  -17638
     763   -9030   28747   12872
     764   23969   -2910  -22150
     765  -16452  -27075    8359
     766  -10747   15723  -26663
     767   32046    5645    3847
     768   -2503   -9770  -31176
     769  -25555   20497    -665
     770   12060    6120   29845
     771    1435  -32323   -5177
     772  -19293    7724   25332
     773   22584   21672   -9690
     774    8428  -23856   20820
     775  -29420    2524  -14202
     776   13894   24792   16307
     777   15949  -21656  -18715
     778  -29901   -6360   11795
     779    4944   22576  -23227
     780   25609  -19099    7282
     781  -15264   -8434  -27740
     782   -2596   32546    2770
     783    5440   -1958  -32252
     784  -22796  -23472   -1742
     785   -5742   14596   28768
     786   32123   -1619   -6254
     787  -10086  -19585   24256
     788  -19218   24256  -10767
     789   25370    6338   19743
     790   -5200  -28516  -15279
     791  -23852   16514   15231
     792   22397   13426  -19792
     793    3547  -30760   10718
     794  -20926    6711  -24304
     795   21588   23855    6206
     796    6217  -14303  -28817
     797  -32719     496    1693
     798    2577    5469   32204
     799   21161  -24858   -2818
     800  -16834   -4841   27691
     801    4619   31600   -7331
     802   19494  -12504   23179
     803  -25634  -16621  -11843
     804   -4025   26627   18666
     805   27324   -7713  -16356
     806  -19045  -22596   14154
     807  -10880   22798  -20868
     808   31310     628    9641
     809   -8167  -19045  -25381
     810  -21833   23888    5129
     811   12756    4160  -29893
     812   -3594  -32563     616
     813   -8804    5219   31127
     814   26658   18650   -3895
     815    3521  -18786   26615
     816  -30762    7525   -8408
     817   14928   19033   22102
     818   13917  -26702  -12920
     819  -27603   -1527   17589
     820   10030   25867  -17433
     821   21037  -21449   13077
     822  -22852   -8354  -21945
     823    2360   31539    8564
     824   16964   -9265  -26458
     825  -25969  -19566    4052
     826   -2340   10440  -30970
     827   32079   -6659    -460
     828   -7694  -10555   30050
     829  -15971   28175   -4972
     830   20445    1855   25538
     831  -10302  -29623   -9485
     832  -18218   17311   21025
     833   27450   11146  -13997
     834   -1117  -28279   16513
     835  -24171   12116  -18510
     836   23690   19193   12000
     837    5897  -22557  -23022
     838  -31442    5380    7488
     839    9950   14712  -27535
     840   17081  -27803    2975
     841   -6774    -856  -32047
     842    9655   31274   -1536
     843   11457  -10144   28973
     844  -29392  -13158   -6049
     845      92   21801   24461
     846   28201  -12915  -10561
     847  -19608  -17064   19948
     848   -8345   27870  -15074
     849   28643   -3868   15436
     850  -13941  -22263  -19586
     851  -17088   25735   10923
     852   21914    3557  -24099
     853   -8392  -31018    6411
     854  -12322   10158  -28611
     855   29367   14409    1898
     856     149   -4824   32409
     857  -30157   12545   -2613
     858   12560   11733   27897
     859   10247  -30296   -7126
     860  -22840    2269   23384
     861   15331   26517  -11638
     862   15593  -21779   18872
     863  -27963   -5557  -16151
     864    6686   28683   14359
     865   20179  -15475  -20663
     866  -27554  -14746    9847
     867   -1387   20926  -25176
     868   30268  -11359    5334
     869   -9792   -9816  -29688
     870  -11581   30640     821
     871    9568    -611   31332
     872  -15294  -28742   -3690
     873  -11490   14910   26820
     874   30878    7275   -8203
     875   -4622  -23551   22307
     876  -24596   17522  -12715
     877   23786   13828   17795
     878    2821  -27729  -17228
     879  -28397    9530   13282
     880   16692   17954  -21740
     881   12195  -29120    8770
     882  -19599     560  -26253
     883   14242   29201    4257
     884    7193   -8683  -30765
     885  -31608   -8632    -254
     886    1986   12422   30255
     887   27049  -17868   -4767
     888  -17155  -10799   25743
     889   -4280   31132   -9279
     890   23926   -7102   21230
     891  -19459  -22467  -13792
     892  -11794   25594   16718
     893   27176     180  -18304
     894  -12359  -27783   12205
     895  -15630   17570  -22817
     896   30411    9468    7693
     897   -2224  -17938  -27329
     898  -27827   17005    3180
     899    6391    4345  -31842
     900    5598  -32257   -1331
     901  -14432    3736   29179
     902   20236   25099   -5844
     903    9711  -19259   24666
     904  -31059   -1300  -10356
     905    9663   23960   20154
     906   20163  -21118  -14869
     907  -27172   -9522   15641
     908    2325   26317  -19381
     909   26847  -15134   11129
     910  -18087  -13250  -23894
     911   -6598   31406    6616
     912   15945   -3534  -28406
     913  -19614  -26163    2104
     914   -1518    2765   32614
     915   32581    2516   -2408
     916   -5748  -15839   28102
     917  -22919   22371   -6920
     918   21184    8272   23589
     919   -1623  -30664  -11433
     920  -23653   12257   19077
     921   22481   17719  -15946
     922    7042  -28494   14564
     923  -25168    4655  -20458
     924   17817   25596   10052
     925   10862  -18224  -24971
     926  -32091   -3619    5539
     927    4400   13602  -29483
     928   24227  -22037    1027
     929   -8162   -3523   31537
     930     576   32576   -3485
     931   16740   -7940   27025
     932  -24247  -20536   -7997
     933   -6522   22897   22512
     934   29955   -4456  -12510
     935  -14841  -23008   18000
     936  -15172   23530  -17022
     937   29537    4389   13487
     938   -6769  -23750  -21535
     939  -24044   20370    8975
     940   17962    8516  -26047
     941     569  -32456    4462
     942  -10852    4686  -30560
     943   24242   22044     -49
     944    3714  -11488   30461
     945  -32242    3641   -4562
     946   10246   17185   25948
     947   17983  -25843   -9074
     948  -24369   -4503   21436
     949    7158   28945  -13587
     950   22033  -17371   16923
     951  -24253  -12563  -18099
     952   -1599   30283   12411
     953   22088   -8629  -22612
     954  -22759  -22209    7898
     955   -6268   17281  -27124
     956   32494   -2514    3386
     957   -4107   -7476  -31637
     958  -19639   26204   -1126
     959   14156    3135   29384
     960   -6640  -31587   -5638
     961  -17206   12609   24871
     962   27141   15295  -10151
     963    2255  -25575   20359
     964  -27652    9695  -14663
     965   19808   20740   15846
     966    9933  -24642  -19176
     967  -30717    1291   11334
     968   10196   20212  -23688
     969   20112  -24952    6821
     970  -16151   -4179  -28201
     971    5594   32203    2309
     972    1540   -1047  -32714
     973  -27898  -17043   -2203
     974   -2028   16378   28307
     975   30620   -9538   -6715
     976  -14975  -16828   23794
     977  -12507   28127  -11228
     978   26492    -179   19282
     979  -12032  -26098  -15740
     980  -19145   22112   14769
     981   24694    7326  -20253
     982   -4243  -30829   10257
     983  -18155   11432  -24765
     984   26919   17776    5744
     985    2321  -14528  -29278
     986  -31585    8631    1232
     987    5185    6257   31743
     988   14287  -29305   -3280
     989  -18218    -518   27230
     990   12298   29354   -7792
     991   16075  -17295   22718
     992  -28792   -9657  -12305
     993    2762   27103   18205
     994   24309  -14137  -16817
     995  -24248  -17268   13693
     996   -4786   24408  -21330
     997   30615   -7218    9180
     998  -12299  -15954  -25842
     999  -15230   28633    4668
    1000   12313     784  -30355
    1001  -11589  -30648     155
    1002   -8151    8173   30666
    1003   30407   11405   -4356
    1004   -1308  -19696   26153
    1005  -27809   14887   -8869
    1006   19525   14969   21641
    1007    6785  -29129  -13381
    1008  -27396    5448   17128
    1009   15982   22316  -17894
    1010   15132  -26182   12616
    1011  -23791   -2360  -22406
    1012   10177   30073    8103
    1013   13650  -12755  -26919
    1014  -30073  -12505    3591
    1015     287    9253  -31431
    1016   29402  -14432    -921
    1017  -10862   -8952   29589
    1018   -8434   31192   -5433
    1019   20817   -3383   25077
    1020  -17273  -26006   -9946
    1021  -13535   21623   20564
    1022   29140    3931  -14458
    1023   -8198  -27364   16051
    1024  -20150   17541  -18971
    1025   27884   12765   11539
    1026      93  -22851  -23483
    1027  -29208   13081    7026
    1028   12749   11284  -27996
    1029    9633  -31217    2514
    1030   -4072     515  -32508
